scenario_id,batch,change_type,target_context,referent_complexity,activity_domain,difficulty_tier,time_gap_bucket,is_cross_session_reference,has_deictic_repair,current_answers_count,prior_answers_count,clarify_indicators_count,abstain_indicators_count,t1_user,t2_user,pair_id,grade_token_leakage,grade_object_names_in_images,grade_three_category_gold,grade_genuine_ambiguity,grade_genuinely_missing_info,grade_scene_plausibility,grade_deictic_naturalness,grade_distinctness,grade_domain_coverage_note
adv-16,0,object_state,prior,single_referent,garden,medium,,False,False,7,7,0,0,How much sun does this need?,How tall was it when I started?,,,,,,,,,,
adv-17,0,sequential_task,prior,single_referent,kitchen,medium,,False,False,7,7,0,0,How long should I let this go?,How long did the rise take?,,,,,,,,,,
adv-18,0,object_in_view,clarify,multi_referent,kitchen,hard,,False,False,0,0,7,0,How fine should I get this?,Should I mince this fine?,,,,,,,,,,
adv-19,0,object_in_hand,clarify,multi_referent,art_craft,hard,,False,False,0,0,7,0,Am I about to start the diagonal?,What angle is this at?,,,,,,,,,,
adv-20,0,absent_referent,abstain,referent_offscreen,automotive,hard,,False,False,0,0,0,7,What's the spec on these?,What torque setting?,,,,,,,,,,
sc-71,1,object_in_hand,prior,single_referent,fitness,easy,seconds,False,False,7,10,0,0,Should I keep going on the same spot or move around?,How hard should I have been pressing into the one I had bef…,,pass,pass,pass,,,4,4,5,first prior+object_in_hand row in fitness; healthy fill
sc-72,1,object_in_hand,clarify,multi_referent,office,medium,seconds,False,False,8,8,9,0,Where on the corner should this go?,How many of those should I be doing per page?,,pass,pass,pass,5,,5,4,5,first object_in_hand row in office; well-constructed prior-vs-current ambiguity
sc-73,1,object_in_hand,abstain,distractor_present,workshop,hard,seconds,False,False,7,7,0,10,Is the reading on this what I want?,Will this one work for the replacement I need?,,pass,pass,pass,,5,5,4,5,first abstain+object_in_hand row in workshop; missing-spec design is well-grounded
sc-74,2,object_state,prior,single_referent,garden,easy,next_day,False,False,9,10,0,0,How tight should I keep these going forward?,What did the cuts look like right after I made them?,,pass,pass,pass,,,5,5,4,second garden+object_state row; cut-face appearance distinct from adv-16 plant height
sc-75,2,object_state,prior,distractor_present,automotive,medium,hours,False,False,9,10,0,0,Anything I should worry about with this?,What did the surface look like before I drove off?,,pass (post-fix: 'pitting' removed from image),pass,pass,,,5,5,5,first automotive+object_state in distractor_present
sc-76,2,object_state,prior,single_referent,fitness,medium,minutes,False,False,9,10,0,0,Should I layer over this for the cool-down?,What did this look like when I first put it on?,,pass (post-fix: 'light gray' removed from image),pass,pass,,,5,5,5,first fitness+object_state in the bank
sc-77,2,object_state,clarify,single_referent,electronics,medium,minutes,False,False,9,9,9,0,Does this look right?,Does this look right?,,pass,pass,pass,5,,5,5,5,first electronics+object_state in the bank
sc-78,2,object_state,clarify,single_referent,household,easy,minutes,False,False,9,10,9,0,Should I go over it again?,Should I go over it again?,,pass (post-fix: 'floor' removed from image),pass (post-fix),pass,5,,5,5,5,first household+object_state+clarify in the bank
sc-79,2,object_state,clarify,distractor_present,music,hard,seconds,False,False,9,10,9,0,Is this where I want it?,Is this where I want it?,,pass,pass,pass,5,,5,5,5,first music+object_state; bow-tension state-shift is novel
sc-80,2,object_state,clarify,single_referent,office,medium,minutes,False,False,9,9,9,0,Does this need to be done over?,Does this need to be done over?,,pass,pass,pass,5,,5,5,5,first office+object_state; ink-state ambiguity is well-targeted
sc-81,2,object_state,clarify,multi_referent,garden,hard,hours,False,False,9,9,9,0,Does it look like it's working?,Does it look like it's working?,,pass,pass,pass,4,,5,5,5,second garden+object_state; multi_referent rationale (multi-component pile) looser than bank convention but defensible — ambiguity slightly weaker (T2 frame is informative) but still ≥3
sc-82,2,object_state,abstain,single_referent,workshop,hard,hours,False,False,9,9,0,11,How long until I can work on it?,Can I start sanding this yet?,,pass (post-fix: 'no longer flowing' and 'bubbles rising' removed from images),pass,pass,,5,5,5,5,second workshop+abstain (sc-73 was first); cure-time-spec abstain pattern complementary to sc-73 thread-spec abstain
sc-83,2,object_state,abstain,single_referent,sports,medium,minutes,False,False,9,9,0,11,Should I keep going?,Is this where I should leave it?,,pass,pass,pass,,5,5,5,5,first sports+object_state+abstain in the bank
sc-84,3,object_in_view,prior,multi_referent,automotive,medium,minutes,False,False,8,8,0,0,What spec should this take?,"Earlier, with the one I asked about first — what was the ri…",,pass,pass,pass,,,5,5,5,first prior+object_in_view in automotive; engine bay scene novel
sc-85,3,object_in_view,prior,distractor_present,electronics,hard,minutes,False,False,8,9,0,0,What temperature should I run this at?,And what about the temperature for the first thing I asked…,,pass,pass,pass,,,5,5,5,first electronics+object_in_view in bank; soldering+3D printer scene
sc-86,3,object_in_view,clarify,multi_referent,fitness,medium,seconds,False,False,0,0,7,0,How many reps with this?,How many reps should I aim for?,,pass,pass,pass,5,,5,5,5,first fitness+clarify in bank
sc-87,3,object_in_view,clarify,distractor_present,art_craft,hard,seconds,False,False,0,0,7,0,How hard should I press here?,How hard should I press?,,pass,pass,pass,5,,5,5,5,first art_craft+clarify in bank
sc-88,3,object_in_view,clarify,multi_referent,music,medium,seconds,False,False,0,0,7,0,Is this in tune?,Is this in tune?,,pass,pass,pass,5,,5,4,5,first music+clarify in bank; T1==T2 user line is intentional but stylistic outlier (deictic 4 reflects this)
sc-89,3,object_in_view,clarify,multi_referent,household,easy,seconds,False,False,0,0,7,0,How much of this should I use?,How much should I pour in?,,pass,pass,pass,5,,5,5,5,first household+clarify in bank
sc-90,3,object_in_view,clarify,distractor_present,garden,medium,seconds,False,False,0,0,7,0,When should I cut this back?,When should I prune this?,,pass,pass (post-fix: 'needle-like' → 'thin pointed'),pass,4,,5,5,5,first garden+clarify in object_in_view; lavender vs rosemary visual distinguishability slightly weakens ambiguity
sc-91,3,object_in_view,clarify,distractor_present,sports,hard,seconds,False,False,0,0,7,0,What grip should I use here?,What grip should I use?,,pass,pass,pass,5,,4,5,5,first sports+clarify in bank; lacrosse+cricket coexistence slightly contrived but plausible at multi-sport facility
sc-92,3,object_in_view,clarify,multi_referent,navigation,medium,seconds,False,False,0,0,7,0,How long should this take me?,How long is this going to take me?,,pass,pass,pass,5,,5,5,5,first navigation in bank (post-fix: complexity single_referent → multi_referent; two trails equally salient)
sc-93,3,object_in_view,clarify,distractor_present,electronics,medium,seconds,False,False,0,0,7,0,Which input do I select for this?,Which input should I pick?,,pass,pass,pass,5,,5,5,5,second electronics row in batch; consumer AV vs sc-85's workbench is a different sub-domain
sc-94,3,object_in_view,clarify,multi_referent,communication,hard,seconds,False,False,0,0,7,0,Should I respond to this today?,Should I write back today?,,pass,pass,pass,5,,5,5,5,first communication+object_in_view in bank (post-fix: complexity referent_offscreen → multi_referent; two envelopes are visible)
sc-95,3,object_in_view,abstain,single_referent,automotive,hard,seconds,False,False,0,0,0,8,Am I good to drive on this?,Is the pressure okay on this?,,pass,pass (post-fix: 'wheel' → 'rim'),pass,,5,5,5,5,"first abstain+object_in_view in bank (post-fix: named anchor declarative form, no trailing question)"
sc-96,4,sequential_task,prior,single_referent,electronics,medium,hours,False,False,9,11,0,0,Is this how I leave it?,How long did the indicator stay on for earlier?,,pass,pass,pass,,,5,4,5,first electronics+sequential_task in bank (post-fix: 'dock' removed from prior_answers — was leaking in image)
sc-97,4,sequential_task,prior,single_referent,music,medium,minutes,False,False,10,14,0,0,Is this where it should sit?,Was that bottom string actually settled in before I started…,,pass,pass,pass,,,5,5,5,first music+sequential_task in bank (post-fix: 'strumming'/'playing position'/'chord' removed from T2 image)
sc-98,4,sequential_task,prior,distractor_present,household,easy,minutes,False,False,8,13,0,0,Is this the right amount?,Did I end up using the right pour from before?,,pass,pass,pass,,,5,5,5,first household+sequential_task in bank (post-fix: 'measuring cap' renamed to 'dosing cup' in T1 image)
sc-99,4,sequential_task,clarify,multi_referent,office,medium,minutes,False,False,0,0,11,0,How many should be in here?,How many should be in here?,,pass,pass,pass,4,,5,4,5,first office+sequential_task+clarify in bank; T1==T2 user line is intentional (sc-88 precedent)
sc-100,4,sequential_task,clarify,multi_referent,sports,medium,minutes,False,False,0,0,11,0,Was that one good?,Was that one good?,,pass,pass,pass,5,,5,5,5,first sports+sequential_task in bank; warm-up vs swing is well-targeted
sc-101,4,sequential_task,clarify,multi_referent,fitness,easy,seconds,False,False,0,0,11,0,How long should I keep going?,How long should I keep going?,,pass,pass (post-fix: 'level' → 'aligned'),pass,5,,5,5,5,first fitness+sequential_task+clarify in bank; plank vs push-up is clean ambiguity
sc-102,4,sequential_task,clarify,multi_referent,communication,medium,minutes,False,False,0,0,11,0,Does this read okay so far?,Is the layout on this how it should be?,,pass,pass,pass,5,,5,5,5,first communication+sequential_task in bank (post-fix: T1/T2 user reworded to avoid duplication with sc-77)
sc-103,4,sequential_task,clarify,multi_referent,art_craft,hard,minutes,False,False,0,0,11,0,Is this consistent enough?,Is this consistent enough?,,pass,pass (post-fix: 'sponge' → 'damp porous block'),pass,5,,5,5,5,first art_craft+sequential_task+clarify in bank; pottery wedging vs centering
sc-104,4,sequential_task,abstain,referent_offscreen,navigation,medium,hours,False,False,0,0,0,12,Is this the right way?,How far have we gone since the boulder?,,pass,pass (post-fix: 'marker' → 'symbol'),pass,,5,5,5,5,first navigation+abstain in bank; no GPS/timestamp data captured between steps
sc-105,4,sequential_task,abstain,referent_offscreen,finance,hard,minutes,False,False,0,0,0,12,Does that look right?,Did the totals reconcile from before?,,pass,pass,pass,,5,5,5,5,first finance+abstain in bank; missing receipt amounts and column sums
sc-106,4,sequential_task,abstain,referent_offscreen,kitchen,medium,minutes,False,False,0,0,0,12,Should I take it off yet?,Was the milk warm enough before I poured it in?,,pass,pass,pass,,5,5,5,5,second kitchen+abstain in bank; thermometer reading never communicated
sc-107,4,sequential_task,abstain,referent_offscreen,fitness,medium,minutes,False,False,0,0,0,12,Should I push harder?,What was my pace on those laps earlier?,,pass,pass,pass,,5,5,5,5,second fitness+abstain in bank; no timing device worn for either turn — cleanest abstain in batch
sc-108,5,location,prior,single_referent,art_craft,easy,minutes,False,False,7,10,0,0,Is the temperature in here good for what I'm doing?,Was that warm enough for what I had going on earlier?,,pass,pass,pass,,,5,5,5,first art_craft+location+prior; studio→living room (post-fix: 'stretched paper' dropped from prior_answers — was leaking in T1 image)
sc-109,5,location,prior,distractor_present,electronics,medium,minutes,False,False,7,12,0,0,Did that connection actually take?,Did the joint I was working on look like it bonded earlier?,,pass,pass,pass,,,5,5,5,first electronics+location+prior; bench→kitchen with hand-washing transition
sc-110,5,location,prior,single_referent,music,medium,hours,False,False,7,12,0,0,How was the intonation in the second movement?,"Going back to my run-through earlier, how was that one pass…",,pass,pass,pass,,,5,5,5,first music+location+prior; practice room→backstage hours-later transition
sc-111,5,location,clarify,multi_referent,office,hard,minutes,False,False,7,7,9,0,Is this background going to look okay?,Is this background going to look okay?,,pass,pass,pass,5,,5,5,5,first office+location+clarify; home alcove vs conference room — both valid for video-call backdrop
sc-112,5,location,clarify,multi_referent,navigation,hard,seconds,False,False,9,7,9,0,Which way am I supposed to go from here?,Which way am I supposed to go from here?,,pass,pass,pass,5,,5,5,5,first navigation+location+clarify; street→subway with same 'which way' question
sc-113,5,location,clarify,distractor_present,communication,easy,seconds,False,False,8,7,9,0,Should I just leave it here?,Should I just leave it here?,,pass,pass,pass,5,,5,5,5,first communication+location+clarify; mailbox cluster vs front porch dropoff
sc-114,5,location,clarify,multi_referent,sports,medium,minutes,False,False,9,7,9,0,Is this a good place to do a quick warm-up?,Is this a good place to do a quick warm-up?,,pass,pass,pass,5,,5,5,5,first sports+location+clarify; locker corridor vs court warm-up
sc-115,5,location,clarify,multi_referent,garden,hard,minutes,False,False,9,7,9,0,Is this an okay spot for these?,Is this an okay spot for these?,,pass,pass,pass,5,,5,5,5,first garden+location+clarify; greenhouse vs transplant bed for the same seedlings
sc-116,5,location,clarify,multi_referent,household,medium,seconds,False,False,8,7,9,0,Is this okay to bring inside yet?,Is this okay to bring inside yet?,,pass,pass,pass,5,,5,5,5,second household+location; entryway vs garage for 'bring inside yet' question
sc-117,5,location,clarify,distractor_present,finance,hard,minutes,False,False,9,7,9,0,Is it alright to be doing this here?,Is it alright to be doing this here?,,pass,pass,pass,5,,5,5,5,first finance+location+clarify; private home vs public cafe (privacy stakes diverge)
sc-118,5,location,abstain,referent_offscreen,automotive,hard,minutes,False,False,0,7,0,8,Should I top it off before the next leg?,What was the trip distance reading at when I pulled in?,,pass,pass,pass,,5,5,5,5,"second automotive+abstain; dashboard reading angled away in T1, vehicle dash offscreen in T2"
sc-119,5,location,abstain,referent_offscreen,workshop,hard,minutes,False,False,0,8,0,8,Will the finish I picked work with this stock?,"What was the species printed on that label, do you remember?",,pass,pass,pass,,5,5,5,5,"second workshop+abstain; species sticker face-down in T1, bench offscreen in T2"
sc-120,5,location,abstain,referent_offscreen,fitness,hard,minutes,False,False,0,8,0,8,How is my pace looking right now?,"What was my speed during that last interval, do you remembe…",,pass,pass,pass,,5,5,5,5,"third fitness+abstain; treadmill console face hidden in glare, outdoor T2 has no readout"
sc-121,6a,absent_referent,prior,referent_offscreen,electronics,easy,seconds,False,False,0,11,0,0,Just paired these. Sound okay to you?,"What was the volume level on those, again?",,pass,pass,pass,,,5,5,5,absent_referent batch 6a
sc-122,6a,absent_referent,prior,referent_offscreen,office,medium,minutes,False,False,0,11,0,0,Skimming through this. What's the first thing I should flag?,"What did that handwritten note on the corner say, again?",,pass,pass (post-fix: 'pot' → 'vessel'),pass,,,5,5,5,absent_referent batch 6a
sc-123,6a,absent_referent,prior,referent_offscreen,music,hard,minutes,False,False,0,11,0,0,Trying to lock in the right tempo. What should I aim for he…,What setting did you suggest for the earlier piece?,,pass,pass,pass,,,5,5,5,absent_referent batch 6a
sc-124,6a,absent_referent,prior,referent_offscreen,navigation,easy,minutes,False,False,0,11,0,0,Where do I head from here?,"What was that next turn you read off, before?",,pass,pass (post-fix: 'wheel' → 'rim'),pass,,,5,5,5,absent_referent batch 6a
sc-125,6a,absent_referent,clarify,referent_offscreen,household,medium,seconds,False,False,0,11,8,0,Quick wipe-down. Anything I'm doing wrong?,Was the technique alright on that?,,pass,pass (post-fix: 'looped fabric' rephrased in image),pass,4,,5,5,5,absent_referent batch 6a
sc-126,6a,absent_referent,clarify,referent_offscreen,communication,hard,seconds,False,False,0,11,8,0,Got these in today. How should I write back?,What's the right tone for replying to that one?,,pass,pass,pass,4,,5,5,5,absent_referent batch 6a
sc-127,6a,absent_referent,clarify,referent_offscreen,sports,easy,seconds,False,False,0,11,8,0,Quick warm-up. Did I get that move right?,How was the form on that one?,,pass,pass,pass,4,,5,5,5,absent_referent batch 6a
sc-128,6a,absent_referent,clarify,referent_offscreen,finance,medium,seconds,False,False,0,11,8,0,Going through the mail. Anything seem off?,Should I dispute that one or just pay it?,,pass,pass,pass,4,,5,5,5,absent_referent batch 6a
sc-129,6b,absent_referent,abstain,referent_offscreen,electronics,medium,seconds,False,False,0,9,0,9,Can I use this with what I just plugged in?,What was the wattage rating on that thing?,,pass,pass,pass,,5,5,5,5,"absent_referent + abstain; key info hidden by camera angle in T1, object gone in T2 (post-fix: dropped power adapter from prior_answers — were leaking in image)"
sc-130,6b,absent_referent,abstain,referent_offscreen,household,easy,seconds,False,False,0,8,0,9,Time to take this. How many should I do?,What did the dosage instructions actually say?,,pass,pass,pass,,5,5,5,5,"absent_referent + abstain; key info hidden by camera angle in T1, object gone in T2 (post-fix: dropped pharmacy bottle, child-resistant cap from prior_answers — were leaking in image)"
sc-131,6b,absent_referent,abstain,referent_offscreen,fitness,medium,minutes,False,False,0,10,0,9,Last set. Spot me on the form?,"What was the total load on that, do you remember?",,pass,pass,pass,,5,5,5,5,"absent_referent + abstain; key info hidden by camera angle in T1, object gone in T2"
sc-132,6b,absent_referent,abstain,referent_offscreen,garden,hard,minutes,False,False,0,10,0,9,Ready to start these. Where should I sow them?,What planting depth did the instructions say?,,pass,pass,pass,,5,5,5,5,"absent_referent + abstain; key info hidden by camera angle in T1, object gone in T2"
sc-133,6b,absent_referent,abstain,referent_offscreen,communication,medium,minutes,False,False,0,9,0,9,Just got this in the mail. Worth opening now?,"Who was the sender on that, again?",,pass,pass,pass,,5,5,5,5,"absent_referent + abstain; key info hidden by camera angle in T1, object gone in T2 (post-fix: dropped envelope from prior_answers — were leaking in image)"
sc-134,6b,absent_referent,abstain,referent_offscreen,music,hard,hours,False,False,0,8,0,9,Borrowed this from a friend. Sounds alright in this room?,"What brand was that one, do you think?",,pass,pass,pass,,5,5,5,5,"absent_referent + abstain; key info hidden by camera angle in T1, object gone in T2 (post-fix: dropped six-string acoustic, rounded wooden soundbox from prior_answers — were leaking in image)"
sc-135,6b,absent_referent,abstain,referent_offscreen,office,easy,seconds,False,False,0,10,0,9,About to swap this in. Right one?,What was the model number printed on it?,,pass,pass,pass,,5,5,5,5,"absent_referent + abstain; key info hidden by camera angle in T1, object gone in T2"
sc-136,7a,screen_content,prior,single_referent,electronics,medium,seconds,False,False,6,9,0,0,Is this where it should be right now?,What was the number I was looking at a moment ago?,,pass,"pass (post-fix: dropped 'pulse','temperature','city name' from gold)",pass,,,5,5,5,screen_content batch 7a
sc-137,7a,screen_content,prior,single_referent,art_craft,medium,seconds,False,False,7,12,0,0,Should I keep this where it is?,Which one should I have left selected from the earlier pane…,,pass,pass (post-fix: 'color wheel' → 'color disc'; dropped 'saturation' from gold),pass,,,5,5,5,screen_content batch 7a
